id,date,year,month,day
1012024,1/1/2024,2024,1,1
1022024,1/2/2024,2024,1,2
1032024,1/3/2024,2024,1,3
1042024,1/4/2024,2024,1,4
1052024,1/5/2024,2024,1,5
1062024,1/6/2024,2024,1,6
1072024,1/7/2024,2024,1,7
1082024,1/8/2024,2024,1,8
1092024,1/9/2024,2024,1,9
1102024,1/10/2024,2024,1,10
1112024,1/11/2024,2024,1,11
1122024,1/12/2024,2024,1,12
1132024,1/13/2024,2024,1,13
1142024,1/14/2024,2024,1,14
1152024,1/15/2024,2024,1,15
1162024,1/16/2024,2024,1,16
1172024,1/17/2024,2024,1,17
1182024,1/18/2024,2024,1,18
1192024,1/19/2024,2024,1,19
1202024,1/20/2024,2024,1,20
1212024,1/21/2024,2024,1,21
1222024,1/22/2024,2024,1,22
1232024,1/23/2024,2024,1,23
1242024,1/24/2024,2024,1,24
1252024,1/25/2024,2024,1,25
1262024,1/26/2024,2024,1,26
1272024,1/27/2024,2024,1,27
1282024,1/28/2024,2024,1,28
1292024,1/29/2024,2024,1,29
1302024,1/30/2024,2024,1,30
1312024,1/31/2024,2024,1,31
2012024,2/1/2024,2024,2,1
2022024,2/2/2024,2024,2,2
2032024,2/3/2024,2024,2,3
2042024,2/4/2024,2024,2,4
2052024,2/5/2024,2024,2,5
2062024,2/6/2024,2024,2,6
2072024,2/7/2024,2024,2,7
2082024,2/8/2024,2024,2,8
2092024,2/9/2024,2024,2,9
2102024,2/10/2024,2024,2,10
2112024,2/11/2024,2024,2,11
2122024,2/12/2024,2024,2,12
2132024,2/13/2024,2024,2,13
2142024,2/14/2024,2024,2,14
2152024,2/15/2024,2024,2,15
2162024,2/16/2024,2024,2,16
2172024,2/17/2024,2024,2,17
2182024,2/18/2024,2024,2,18
2192024,2/19/2024,2024,2,19
2202024,2/20/2024,2024,2,20
2212024,2/21/2024,2024,2,21
2222024,2/22/2024,2024,2,22
2232024,2/23/2024,2024,2,23
2242024,2/24/2024,2024,2,24
2252024,2/25/2024,2024,2,25
2262024,2/26/2024,2024,2,26
2272024,2/27/2024,2024,2,27
2282024,2/28/2024,2024,2,28
2292024,2/29/2024,2024,2,29
3012024,3/1/2024,2024,3,1
3022024,3/2/2024,2024,3,2
3032024,3/3/2024,2024,3,3
3042024,3/4/2024,2024,3,4
3052024,3/5/2024,2024,3,5
3062024,3/6/2024,2024,3,6
3072024,3/7/2024,2024,3,7
3082024,3/8/2024,2024,3,8
3092024,3/9/2024,2024,3,9
3102024,3/10/2024,2024,3,10
3112024,3/11/2024,2024,3,11
3122024,3/12/2024,2024,3,12
3132024,3/13/2024,2024,3,13
3142024,3/14/2024,2024,3,14
3152024,3/15/2024,2024,3,15
3162024,3/16/2024,2024,3,16
3172024,3/17/2024,2024,3,17
3182024,3/18/2024,2024,3,18
3192024,3/19/2024,2024,3,19
3202024,3/20/2024,2024,3,20
3212024,3/21/2024,2024,3,21
3222024,3/22/2024,2024,3,22
3232024,3/23/2024,2024,3,23
3242024,3/24/2024,2024,3,24
3252024,3/25/2024,2024,3,25
3262024,3/26/2024,2024,3,26
3272024,3/27/2024,2024,3,27
3282024,3/28/2024,2024,3,28
3292024,3/29/2024,2024,3,29
3302024,3/30/2024,2024,3,30
3312024,3/31/2024,2024,3,31
4012024,4/1/2024,2024,4,1
4022024,4/2/2024,2024,4,2
4032024,4/3/2024,2024,4,3
4042024,4/4/2024,2024,4,4
4052024,4/5/2024,2024,4,5
4062024,4/6/2024,2024,4,6
4072024,4/7/2024,2024,4,7
4082024,4/8/2024,2024,4,8
4092024,4/9/2024,2024,4,9
