id,memo,amount,GL_id,date_id,country_id
1,[sample_data],3155457,10100,1012024,1
2,[sample_data],4401352,12100,1022024,1
3,[sample_data],3359948,12500,1032024,1
4,[sample_data],4550590,13100,1042024,1
5,[sample_data],2883235,15300,1052024,1
6,[sample_data],4608594,17000,1062024,1
7,[sample_data],263527,17100,1072024,1
8,[sample_data],433455,17300,1082024,1
9,[sample_data],5351979,17800,1082024,1
10,[sample_data],5389926,18100,1082024,1
11,[sample_data],4806942,18300,1082024,1
12,[sample_data],1476238,18800,1082024,1
13,[sample_data],5179341,20100,1082024,1
14,[sample_data],2847914,21000,1082024,1
15,[sample_data],3590050,22100,1082024,1
16,[sample_data],289472,23100,1082024,1
17,[sample_data],4303284,24500,1082024,1
18,[sample_data],3932313,25100,1082024,1
19,[sample_data],1877891,25600,1082024,1
20,[sample_data],2453247,27100,1082024,1
21,[sample_data],4745567,27500,1082024,1
22,[sample_data],3417180,31010,1082024,1
23,[sample_data],2305711,31022,1082024,1
24,[sample_data],3376160,32015,1082024,1
25,[sample_data],4757868,33110,1082024,1
26,[sample_data],5352561,41010,1082024,1
27,[sample_data],698877,41022,1082024,1
28,[sample_data],3505389,42015,1092024,1
29,[sample_data],1846538,43110,1102024,1
30,[sample_data],1511762,50100,1112024,1
31,[sample_data],360941,50150,1122024,1
32,[sample_data],4920066,50200,1132024,1
33,[sample_data],2147077,59100,1142024,1
34,[sample_data],5097567,59150,1152024,1
35,[sample_data],1277205,59200,1162024,1
36,[sample_data],3633131,59600,1172024,1
37,[sample_data],1374499,10100,1172024,1
38,[sample_data],3686074,12100,1172024,1
39,[sample_data],4398795,12500,1172024,1
40,[sample_data],1863314,13100,1172024,1
41,[sample_data],5312917,15300,1172024,1
42,[sample_data],1337261,17000,1172024,1
43,[sample_data],4742885,17100,1172024,1
44,[sample_data],4461250,17300,1172024,1
45,[sample_data],4240624,17800,1172024,1
46,[sample_data],4743538,18100,1172024,1
47,[sample_data],3873059,18300,1172024,1
48,[sample_data],4298985,18800,1172024,1
49,[sample_data],1506780,20100,1172024,1
50,[sample_data],4836391,21000,1172024,1
51,[sample_data],776083,22100,1182024,1
52,[sample_data],111919,23100,1192024,1
53,[sample_data],3337381,24500,1202024,1
54,[sample_data],3806312,25100,1212024,1
55,[sample_data],644586,25600,1222024,1
56,[sample_data],2605549,27100,1232024,1
57,[sample_data],895333,27500,1242024,1
58,[sample_data],4589163,31010,1252024,1
59,[sample_data],1443414,31022,1262024,1
60,[sample_data],338211,32015,1272024,1
61,[sample_data],1305842,33110,1272024,1
62,[sample_data],2062731,41010,1272024,1
63,[sample_data],4831333,41022,1272024,1
64,[sample_data],4980658,42015,1272024,1
65,[sample_data],533387,43110,1272024,1
66,[sample_data],3415616,50100,1272024,1
67,[sample_data],1586446,50150,1272024,1
68,[sample_data],5083897,50200,1272024,1
69,[sample_data],821679,59100,1272024,1
70,[sample_data],1710575,59150,1282024,1
71,[sample_data],4273956,59200,1292024,1
72,[sample_data],2254070,59600,1302024,1
73,[sample_data],4832759,10100,2022024,1
74,[sample_data],1142367,12100,2022024,1
75,[sample_data],3717881,12500,2032024,1
76,[sample_data],4951841,13100,2042024,1
77,[sample_data],4981080,15300,2052024,1
78,[sample_data],4645431,17000,2062024,1
79,[sample_data],4050386,17100,2072024,1
80,[sample_data],1755542,17300,2082024,1
81,[sample_data],3199577,17800,2082024,1
82,[sample_data],3585149,18100,2082024,1
83,[sample_data],1419332,18300,2082024,1
84,[sample_data],5091026,18800,2082024,1
85,[sample_data],2498993,20100,2082024,1
86,[sample_data],322446,21000,2082024,1
87,[sample_data],625436,22100,2082024,1
88,[sample_data],1298870,23100,2082024,1
89,[sample_data],7694,24500,2082024,1
90,[sample_data],2917641,25100,2082024,1
91,[sample_data],1694535,25600,2082024,1
92,[sample_data],3584868,27100,2082024,1
93,[sample_data],4317345,27500,2082024,1
94,[sample_data],4809667,31010,2082024,1
95,[sample_data],4766249,31022,2082024,1
96,[sample_data],4413763,32015,2082024,1
97,[sample_data],2027899,33110,2082024,1
98,[sample_data],3148085,41010,2082024,1
99,[sample_data],1093104,41022,2082024,1
100,[sample_data],5011966,42015,2092024,1
101,[sample_data],3490440,43110,2202024,1
102,[sample_data],238673,50100,2222024,1
103,[sample_data],2211322,50150,2222024,1
104,[sample_data],5022640,50200,2232024,1
105,[sample_data],4240388,59100,2242024,1
106,[sample_data],2704918,59150,2252024,1
107,[sample_data],1647160,59200,2262024,1
108,[sample_data],4728537,59600,2272024,1
109,[sample_data],3797502,10100,2272024,1
110,[sample_data],713660,12100,2272024,1
111,[sample_data],3364591,12500,2272024,1
112,[sample_data],1577744,13100,2272024,1
113,[sample_data],719388,15300,2272024,1
114,[sample_data],4893862,17000,2272024,1
115,[sample_data],4857663,17100,2272024,1
116,[sample_data],1685747,17300,2272024,1
117,[sample_data],375893,17800,2272024,1
118,[sample_data],296710,18100,2272024,1
119,[sample_data],5310443,18300,2272024,1
120,[sample_data],1123934,18800,2272024,1
121,[sample_data],3003893,20100,2272024,1
122,[sample_data],3313306,21000,2272024,1
123,[sample_data],3912444,22100,2282024,1
124,[sample_data],5000967,23100,2292024,1
125,[sample_data],3246649,24500,2202024,1
126,[sample_data],4673195,25100,2222024,1
127,[sample_data],710201,25600,2222024,1
128,[sample_data],1311477,27100,2232024,1
129,[sample_data],225263,27500,2242024,1
130,[sample_data],5041565,31010,2252024,1
131,[sample_data],3502972,31022,2262024,1
132,[sample_data],132511,32015,2272024,1
133,[sample_data],3269704,33110,2272024,1
134,[sample_data],2744873,41010,2272024,1
135,[sample_data],2923963,41022,2272024,1
136,[sample_data],1453799,42015,2272024,1
137,[sample_data],3875888,43110,2272024,1
138,[sample_data],4729200,50100,2272024,1
139,[sample_data],3093492,50150,2272024,1
140,[sample_data],5109902,50200,2272024,1
141,[sample_data],3575433,59100,2272024,1
142,[sample_data],5145639,59150,2282024,1
143,[sample_data],2697851,59200,2292024,1
144,[sample_data],4032854,59600,2292024,1
145,[sample_data],1037200,10100,3032024,1
146,[sample_data],4405206,12100,3042024,1
147,[sample_data],4500798,12500,3052024,1
148,[sample_data],1283872,13100,3062024,1
149,[sample_data],1507697,15300,3072024,1
